Chance For Each Team To Make Each Round
+-------------------+-------------+-------------+----------+---------+---------+--------------+--------+
|        Team       | Round of 64 | Round of 32 | Sweet 16 | Elite 8 | Final 4 | Championship | Winner |
|        UCLA       |    100.0%   |    41.6%    |  21.3%   |   9.9%  |   3.8%  |     1.7%     |  0.8%  |
|      Missouri     |    100.0%   |    39.0%    |  20.2%   |   8.5%  |   4.2%  |     1.7%     |  0.7%  |
|     Creighton     |    62.3%    |    26.8%    |  13.7%   |   7.2%  |   3.3%  |     1.6%     |  0.7%  |
|     Ohio State    |    100.0%   |    47.5%    |  18.7%   |   8.5%  |   4.2%  |     1.6%     |  0.7%  |
|       Akron       |    100.0%   |    44.4%    |  19.0%   |   9.2%  |   3.8%  |     1.7%     |  0.7%  |
|      Bradley      |    100.0%   |    38.9%    |  18.0%   |   7.6%  |   3.5%  |     1.6%     |  0.6%  |
|       Baylor      |    100.0%   |    45.2%    |  20.1%   |   9.1%  |   3.4%  |     1.5%     |  0.6%  |
|      Gonzaga      |    100.0%   |    58.2%    |  25.2%   |   8.1%  |   3.5%  |     1.5%     |  0.6%  |
|   McNeese State   |    100.0%   |    45.9%    |  22.1%   |  10.4%  |   4.1%  |     1.5%     |  0.6%  |
|      Georgia      |    100.0%   |    50.4%    |  20.2%   |   8.4%  |   3.7%  |     1.5%     |  0.6%  |
|   North Carolina  |    100.0%   |    49.6%    |  19.6%   |   8.1%  |   3.5%  |     1.4%     |  0.5%  |
|      Samford      |    100.0%   |    51.2%    |  22.4%   |   9.2%  |   3.6%  |     1.4%     |  0.5%  |
|        Pitt       |    100.0%   |    46.2%    |  21.5%   |   9.8%  |   3.7%  |     1.3%     |  0.5%  |
|     High Point    |    100.0%   |    40.4%    |  16.6%   |   6.7%  |   3.0%  |     1.3%     |  0.5%  |
|       UConn       |    100.0%   |    48.8%    |  20.8%   |   8.3%  |   3.2%  |     1.2%     |  0.4%  |
|        Yale       |    100.0%   |    37.9%    |  18.6%   |   7.4%  |   2.8%  |     1.0%     |  0.4%  |
|    Utah Valley    |    100.0%   |    40.6%    |  14.7%   |   5.2%  |   2.2%  |     0.7%     |  0.3%  |
|  Cleveland State  |    100.0%   |    28.4%    |  12.6%   |   4.6%  |   1.8%  |     0.6%     |  0.2%  |
| Northern Colorado |    100.0%   |    30.5%    |  14.1%   |   3.7%  |   1.3%  |     0.5%     |  0.2%  |
|      Lipscomb     |    100.0%   |    41.8%    |  14.9%   |   3.8%  |   1.3%  |     0.5%     |  0.2%  |
|       Marist      |    100.0%   |    29.6%    |  11.3%   |   4.1%  |   1.2%  |     0.4%     |  0.1%  |
|      Southern     |    100.0%   |    32.9%    |  10.7%   |   3.6%  |   1.0%  |     0.3%     |  0.1%  |
|    Saint Louis    |    100.0%   |    31.2%    |  11.4%   |   4.1%  |   1.2%  |     0.3%     |  0.1%  |
|       Dayton      |    37.7%    |    11.8%    |   4.6%   |   1.9%  |   0.6%  |     0.2%     |  0.1%  |
|   Nebraska-Omaha  |    100.0%   |    22.6%    |   7.0%   |   2.1%  |   0.7%  |     0.2%     |  0.1%  |
|        Iowa       |    33.1%    |    11.5%    |   4.2%   |   1.5%  |   0.6%  |     0.2%     |  0.1%  |
|       Bryant      |    100.0%   |    27.1%    |   8.7%   |   2.5%  |   0.6%  |     0.2%     |  0.0%  |
|  William and Mary |    100.0%   |    19.6%    |   6.3%   |   1.9%  |   0.6%  |     0.2%     |  0.0%  |
|   Morehead State  |    100.0%   |    21.6%    |   6.1%   |   1.9%  |   0.5%  |     0.1%     |  0.0%  |
|  New Mexico State |    100.0%   |    21.2%    |   5.5%   |   1.4%  |   0.4%  |     0.1%     |  0.0%  |
|    Long Island    |    53.7%    |    11.7%    |   3.3%   |   0.9%  |   0.2%  |     0.0%     |  0.0%  |
|      Colgate      |    59.8%    |     7.1%    |   1.5%   |   0.4%  |   0.1%  |     0.0%     |  0.0%  |
|    Old Dominion   |    46.3%    |     9.0%    |   2.2%   |   0.5%  |   0.1%  |     0.0%     |  0.0%  |
|       Howard      |    40.2%    |     3.3%    |   0.5%   |   0.1%  |   0.0%  |     0.0%     |  0.0%  |
|       TOTAL       |      64     |      32     |    16    |    8    |    4    |      2       |   1    |
+-------------------+-------------+-------------+----------+---------+---------+--------------+--------+
