Chance For Each Team To Make Each Round
+-------------------+-------------+-------------+----------+---------+---------+--------------+--------+
|        Team       | Round of 64 | Round of 32 | Sweet 16 | Elite 8 | Final 4 | Championship | Winner |
|       Baylor      |    100.0%   |    66.7%    |  18.1%   |   7.9%  |   1.8%  |     0.6%     |  0.2%  |
|   West Virginia   |    100.0%   |    47.2%    |  22.8%   |   7.9%  |   2.1%  |     0.6%     |  0.2%  |
|     Creighton     |    71.7%    |    26.6%    |  10.4%   |   5.3%  |   1.6%  |     0.5%     |  0.1%  |
|      Clemson      |    100.0%   |    43.3%    |   7.7%   |   3.1%  |   1.2%  |     0.4%     |  0.1%  |
|       UConn       |    100.0%   |    78.6%    |  26.2%   |   8.6%  |   2.0%  |     0.5%     |  0.1%  |
|     Utah State    |    100.0%   |    28.6%    |  12.8%   |   3.2%  |   1.2%  |     0.3%     |  0.1%  |
|    Saint Mary's   |    100.0%   |    34.7%    |  14.5%   |   4.1%  |   0.8%  |     0.2%     |  0.1%  |
|        Pitt       |    100.0%   |    53.0%    |  17.9%   |   5.3%  |   1.2%  |     0.2%     |  0.1%  |
|      Gonzaga      |    100.0%   |    81.7%    |  19.8%   |   2.8%  |   0.7%  |     0.2%     |  0.0%  |
|     New Mexico    |    53.6%    |    14.0%    |   5.2%   |   1.3%  |   0.5%  |     0.1%     |  0.0%  |
|  San Diego State  |    100.0%   |    47.0%    |  14.7%   |   4.0%  |   0.8%  |     0.1%     |  0.0%  |
|   North Carolina  |    100.0%   |    31.0%    |   6.1%   |   1.7%  |   0.6%  |     0.1%     |  0.0%  |
|        Iowa       |    46.4%    |    10.9%    |   3.7%   |   0.8%  |   0.3%  |     0.1%     |  0.0%  |
|     UC-Irvine     |    100.0%   |    33.3%    |   5.5%   |   1.5%  |   0.2%  |     0.0%     |  0.0%  |
|      Bradley      |    100.0%   |    28.7%    |   6.4%   |   0.7%  |   0.2%  |     0.0%     |  0.0%  |
|       Dayton      |    28.3%    |     5.3%    |   1.2%   |   0.3%  |   0.1%  |     0.0%     |  0.0%  |
|     High Point    |    100.0%   |    11.5%    |   2.9%   |   0.2%  |   0.0%  |     0.0%     |  0.0%  |
|    Saint Louis    |    100.0%   |     9.7%    |   2.0%   |   0.4%  |   0.0%  |     0.0%     |  0.0%  |
|        Yale       |    100.0%   |    10.2%    |   2.9%   |   0.4%  |   0.0%  |     0.0%     |  0.0%  |
|   McNeese State   |    100.0%   |    14.2%    |   1.8%   |   0.3%  |   0.0%  |     0.0%     |  0.0%  |
|      Samford      |    100.0%   |    21.4%    |   2.9%   |   0.3%  |   0.0%  |     0.0%     |  0.0%  |
|       Akron       |    100.0%   |     9.7%    |   1.3%   |   0.2%  |   0.0%  |     0.0%     |  0.0%  |
|    Utah Valley    |    100.0%   |    12.0%    |   1.3%   |   0.1%  |   0.0%  |     0.0%     |  0.0%  |
| Northern Colorado |    100.0%   |     6.3%    |   1.7%   |   0.1%  |   0.0%  |     0.0%     |  0.0%  |
|  Cleveland State  |    100.0%   |     4.3%    |   0.5%   |   0.0%  |   0.0%  |     0.0%     |  0.0%  |
|  New Mexico State |    100.0%   |     8.2%    |   0.7%   |   0.0%  |   0.0%  |     0.0%     |  0.0%  |
|      Lipscomb     |    100.0%   |    18.3%    |   1.5%   |   0.1%  |   0.0%  |     0.0%     |  0.0%  |
|       Marist      |    100.0%   |     4.0%    |   0.6%   |   0.1%  |   0.0%  |     0.0%     |  0.0%  |
|   Nebraska-Omaha  |    100.0%   |     2.6%    |   0.2%   |   0.0%  |   0.0%  |     0.0%     |  0.0%  |
|       Bryant      |    100.0%   |     7.3%    |   0.6%   |   0.0%  |   0.0%  |     0.0%     |  0.0%  |
|  William and Mary |    100.0%   |     2.6%    |   0.2%   |   0.0%  |   0.0%  |     0.0%     |  0.0%  |
|    Old Dominion   |    62.4%    |     2.7%    |   0.3%   |   0.0%  |   0.0%  |     0.0%     |  0.0%  |
|      Southern     |    100.0%   |     4.7%    |   0.2%   |   0.0%  |   0.0%  |     0.0%     |  0.0%  |
|   Morehead State  |    100.0%   |     3.5%    |   0.2%   |   0.0%  |   0.0%  |     0.0%     |  0.0%  |
|      Colgate      |    62.4%    |     0.6%    |   0.0%   |   0.0%  |   0.0%  |     0.0%     |  0.0%  |
|    Long Island    |    37.6%    |     1.0%    |   0.1%   |   0.0%  |   0.0%  |     0.0%     |  0.0%  |
|       Howard      |    37.6%    |     0.2%    |   0.0%   |   0.0%  |   0.0%  |     0.0%     |  0.0%  |
|       TOTAL       |      64     |      32     |    16    |    8    |    4    |      2       |   1    |
+-------------------+-------------+-------------+----------+---------+---------+--------------+--------+
