Chance For Each Team To Make Each Round
+-------------------+-------------+-------------+----------+---------+---------+--------------+--------+
|        Team       | Round of 64 | Round of 32 | Sweet 16 | Elite 8 | Final 4 | Championship | Winner |
|       UConn       |    100.0%   |    52.7%    |  23.6%   |   9.4%  |   3.8%  |     1.4%     |  0.5%  |
|     Ohio State    |    100.0%   |    45.6%    |  17.3%   |   7.5%  |   3.6%  |     1.3%     |  0.5%  |
|      Missouri     |    100.0%   |    36.5%    |  17.7%   |   7.1%  |   3.4%  |     1.3%     |  0.5%  |
|   McNeese State   |    100.0%   |    45.1%    |  20.4%   |   9.4%  |   3.5%  |     1.2%     |  0.4%  |
|       Akron       |    100.0%   |    43.9%    |  18.4%   |   8.6%  |   3.0%  |     1.2%     |  0.4%  |
|      Maryland     |    100.0%   |    40.7%    |  15.7%   |   7.3%  |   2.9%  |     1.1%     |  0.4%  |
|   North Carolina  |    100.0%   |    50.6%    |  19.2%   |   7.1%  |   2.8%  |     1.0%     |  0.3%  |
|      Samford      |    100.0%   |    47.3%    |  20.0%   |   7.4%  |   2.8%  |     1.0%     |  0.3%  |
|     High Point    |    100.0%   |    39.7%    |  15.0%   |   5.2%  |   2.3%  |     0.9%     |  0.3%  |
|      Georgia      |    100.0%   |    49.4%    |  18.5%   |   6.8%  |   2.6%  |     0.9%     |  0.3%  |
|       Baylor      |    100.0%   |    37.2%    |  15.2%   |   6.4%  |   2.1%  |     0.8%     |  0.3%  |
|        Pitt       |    100.0%   |    42.6%    |  19.1%   |   8.0%  |   2.8%  |     0.9%     |  0.3%  |
|    Utah Valley    |    100.0%   |    36.4%    |  12.6%   |   4.2%  |   1.7%  |     0.5%     |  0.2%  |
|      Lipscomb     |    100.0%   |    43.2%    |  16.2%   |   4.2%  |   1.5%  |     0.5%     |  0.2%  |
|        Yale       |    100.0%   |    33.0%    |  14.7%   |   5.0%  |   1.7%  |     0.5%     |  0.2%  |
| Northern Colorado |    100.0%   |    32.0%    |  14.8%   |   3.9%  |   1.4%  |     0.5%     |  0.2%  |
|  Cleveland State  |    100.0%   |    28.3%    |  13.1%   |   4.4%  |   1.6%  |     0.5%     |  0.2%  |
|       Marist      |    100.0%   |    28.0%    |   9.8%   |   3.4%  |   0.9%  |     0.3%     |  0.1%  |
|       Bryant      |    100.0%   |    29.0%    |  10.5%   |   3.3%  |   0.8%  |     0.2%     |  0.1%  |
|    Saint Louis    |    100.0%   |    26.9%    |   9.3%   |   3.2%  |   0.8%  |     0.2%     |  0.1%  |
|       Dayton      |    36.0%    |    11.4%    |   4.5%   |   1.8%  |   0.5%  |     0.2%     |  0.0%  |
|      Southern     |    100.0%   |    30.6%    |   8.8%   |   2.6%  |   0.6%  |     0.2%     |  0.0%  |
|  New Mexico State |    100.0%   |    21.6%    |   6.2%   |   1.9%  |   0.5%  |     0.1%     |  0.0%  |
|   Nebraska-Omaha  |    100.0%   |    16.8%    |   4.8%   |   1.3%  |   0.4%  |     0.1%     |  0.0%  |
|        Iowa       |    29.9%    |     9.3%    |   2.9%   |   1.0%  |   0.3%  |     0.1%     |  0.0%  |
|   Morehead State  |    100.0%   |    19.2%    |   5.5%   |   1.7%  |   0.4%  |     0.1%     |  0.0%  |
|  William and Mary |    100.0%   |    14.8%    |   3.7%   |   0.8%  |   0.2%  |     0.0%     |  0.0%  |
|    Old Dominion   |    52.8%    |    11.0%    |   2.9%   |   0.7%  |   0.1%  |     0.0%     |  0.0%  |
|    Long Island    |    47.2%    |     9.0%    |   2.2%   |   0.5%  |   0.1%  |     0.0%     |  0.0%  |
|      Colgate      |    55.1%    |     4.6%    |   0.7%   |   0.1%  |   0.0%  |     0.0%     |  0.0%  |
|       Howard      |    44.9%    |     3.1%    |   0.4%   |   0.1%  |   0.0%  |     0.0%     |  0.0%  |
|       TOTAL       |      64     |      32     |    16    |    8    |    4    |      2       |   1    |
+-------------------+-------------+-------------+----------+---------+---------+--------------+--------+
