Chance For Each Team To Make Each Round
+-------------------+-------------+-------------+----------+---------+---------+--------------+--------+
|        Team       | Round of 64 | Round of 32 | Sweet 16 | Elite 8 | Final 4 | Championship | Winner |
|   West Virginia   |    100.0%   |    60.1%    |  29.1%   |  11.4%  |   4.0%  |     0.7%     |  0.2%  |
|      Ole Miss     |    100.0%   |    67.0%    |  13.2%   |   3.9%  |   1.2%  |     0.5%     |  0.2%  |
|       Oregon      |    100.0%   |    82.4%    |  35.9%   |   8.0%  |   2.5%  |     0.5%     |  0.1%  |
|        Pitt       |    100.0%   |    54.8%    |  15.5%   |   5.8%  |   1.7%  |     0.4%     |  0.1%  |
|      Memphis      |    100.0%   |    68.9%    |  26.1%   |   6.8%  |   2.4%  |     0.3%     |  0.1%  |
|      Georgia      |    100.0%   |    58.3%    |  11.2%   |   2.2%  |   0.5%  |     0.2%     |  0.1%  |
|      Clemson      |    100.0%   |    38.6%    |   4.8%   |   1.6%  |   0.6%  |     0.2%     |  0.0%  |
|  San Diego State  |    100.0%   |    45.2%    |  11.4%   |   3.8%  |   1.0%  |     0.2%     |  0.0%  |
|      Oklahoma     |    100.0%   |    38.7%    |   8.3%   |   3.5%  |   1.2%  |     0.2%     |  0.0%  |
|      Nebraska     |    100.0%   |    39.9%    |  15.4%   |   4.5%  |   1.2%  |     0.1%     |  0.0%  |
|     Utah State    |    100.0%   |    30.2%    |  14.6%   |   2.5%  |   0.6%  |     0.1%     |  0.0%  |
|     New Mexico    |    63.6%    |    24.0%    |   3.0%   |   0.6%  |   0.1%  |     0.0%     |  0.0%  |
|   North Carolina  |    100.0%   |    41.7%    |   5.9%   |   0.9%  |   0.2%  |     0.0%     |  0.0%  |
|   McNeese State   |    100.0%   |    16.4%    |   5.9%   |   1.3%  |   0.2%  |     0.0%     |  0.0%  |
|     UC-Irvine     |    100.0%   |    23.2%    |   5.9%   |   1.2%  |   0.1%  |     0.0%     |  0.0%  |
|      Bradley      |    100.0%   |    31.1%    |   7.0%   |   0.9%  |   0.2%  |     0.0%     |  0.0%  |
|        Yale       |    100.0%   |    18.6%    |   5.1%   |   0.4%  |   0.0%  |     0.0%     |  0.0%  |
|        Iowa       |    36.4%    |     9.1%    |   0.6%   |   0.1%  |   0.0%  |     0.0%     |  0.0%  |
|       Dayton      |    19.5%    |     2.8%    |   0.6%   |   0.1%  |   0.0%  |     0.0%     |  0.0%  |
|       Akron       |    100.0%   |    11.9%    |   1.6%   |   0.3%  |   0.0%  |     0.0%     |  0.0%  |
|     High Point    |    100.0%   |    12.0%    |   3.5%   |   0.3%  |   0.0%  |     0.0%     |  0.0%  |
|    Saint Louis    |    100.0%   |    17.2%    |   2.1%   |   0.3%  |   0.0%  |     0.0%     |  0.0%  |
|      Lipscomb     |    100.0%   |    11.1%    |   1.4%   |   0.1%  |   0.0%  |     0.0%     |  0.0%  |
|    Utah Valley    |    100.0%   |    17.6%    |   2.5%   |   0.1%  |   0.0%  |     0.0%     |  0.0%  |
|      Samford      |    100.0%   |    11.3%    |   1.5%   |   0.1%  |   0.0%  |     0.0%     |  0.0%  |
|       Bryant      |    100.0%   |     9.3%    |   1.4%   |   0.1%  |   0.0%  |     0.0%     |  0.0%  |
| Northern Colorado |    100.0%   |     5.2%    |   0.5%   |   0.0%  |   0.0%  |     0.0%     |  0.0%  |
|  Cleveland State  |    100.0%   |     1.8%    |   0.2%   |   0.0%  |   0.0%  |     0.0%     |  0.0%  |
|   Nebraska-Omaha  |    100.0%   |     1.8%    |   0.1%   |   0.0%  |   0.0%  |     0.0%     |  0.0%  |
|  New Mexico State |    100.0%   |     0.9%    |   0.1%   |   0.0%  |   0.0%  |     0.0%     |  0.0%  |
|       Marist      |    100.0%   |     3.8%    |   0.2%   |   0.0%  |   0.0%  |     0.0%     |  0.0%  |
|      Southern     |    100.0%   |     2.0%    |   0.1%   |   0.0%  |   0.0%  |     0.0%     |  0.0%  |
|  William and Mary |    100.0%   |     0.6%    |   0.0%   |   0.0%  |   0.0%  |     0.0%     |  0.0%  |
|      Colgate      |    65.6%    |     0.1%    |   0.0%   |   0.0%  |   0.0%  |     0.0%     |  0.0%  |
|    Long Island    |    55.2%    |     0.4%    |   0.0%   |   0.0%  |   0.0%  |     0.0%     |  0.0%  |
|    Old Dominion   |    44.8%    |     0.2%    |   0.0%   |   0.0%  |   0.0%  |     0.0%     |  0.0%  |
|   Morehead State  |    100.0%   |     0.1%    |   0.0%   |   0.0%  |   0.0%  |     0.0%     |  0.0%  |
|       Howard      |    34.4%    |     0.0%    |   0.0%   |   0.0%  |   0.0%  |     0.0%     |  0.0%  |
|       TOTAL       |      64     |      32     |    16    |    8    |    4    |      2       |   1    |
+-------------------+-------------+-------------+----------+---------+---------+--------------+--------+
