Team Rankings Based on Generalized Poisson Adjusted Score
+------+-------------------+-------+-----------+-----------+--------------+--------------+--------------+-----------+---------+------+
| Rank |        Team       | Alpha | Off. Coef | Def. Coef | Completeness | Adj. Offense | Adj. Defense | Adj. Diff |  Record | Tier |
|  16  |      Michigan     | 0.016 |   0.138   |   -0.156  |    0.294     |    83.709    |    62.374    |   21.335  |  18 - 5 |  3   |
|  17  |      Kentucky     | 0.016 |   0.204   |   -0.090  |    0.294     |    89.460    |    66.669    |   22.791  |  16 - 7 |  3   |
|  18  |      Maryland     | 0.016 |   0.130   |   -0.163  |    0.293     |    83.096    |    61.991    |   21.106  |  17 - 6 |  3   |
|  19  |    Saint John's   | 0.016 |   0.074   |   -0.216  |    0.290     |    78.550    |    58.764    |   19.786  |  21 - 3 |  3   |
|  20  |   Michigan State  | 0.016 |   0.130   |   -0.156  |    0.286     |    83.100    |    62.414    |   20.686  |  19 - 4 |  3   |
|  21  |        UCLA       | 0.016 |   0.120   |   -0.163  |    0.283     |    82.215    |    61.949    |   20.266  |  18 - 6 |  3   |
|  22  |        TAMU       | 0.016 |   0.109   |   -0.170  |    0.279     |    81.354    |    61.539    |   19.815  |  18 - 5 |  3   |
|  23  |       Baylor      | 0.016 |   0.183   |   -0.093  |    0.276     |    87.586    |    66.449    |   21.138  |  15 - 8 |  3   |
|  24  |      Ole Miss     | 0.016 |   0.119   |   -0.157  |    0.275     |    82.124    |    62.365    |   19.758  |  18 - 6 |  3   |
|  25  |    Saint Mary's   | 0.016 |   0.123   |   -0.152  |    0.274     |    82.456    |    62.666    |   19.790  |  21 - 4 |  3   |
|  26  |      Missouri     | 0.016 |   0.162   |   -0.112  |    0.274     |    85.770    |    65.237    |   20.533  |  17 - 6 |  3   |
|  27  |       UConn       | 0.016 |   0.172   |   -0.096  |    0.268     |    86.625    |    66.248    |   20.377  |  16 - 7 |  3   |
|  28  |     Marquette     | 0.016 |   0.134   |   -0.131  |    0.266     |    83.433    |    63.976    |   19.457  |  18 - 6 |  3   |
|  29  |     Creighton     | 0.016 |   0.125   |   -0.136  |    0.262     |    82.688    |    63.655    |   19.033  |  18 - 6 |  3   |
|  30  |     Louisville    | 0.016 |   0.130   |   -0.131  |    0.261     |    83.072    |    63.972    |   19.100  |  18 - 6 |  3   |
|  31  | Mississippi State | 0.016 |   0.146   |   -0.105  |    0.251     |    84.386    |    65.686    |   18.700  |  17 - 6 |  4   |
|  32  |      Georgia      | 0.016 |   0.100   |   -0.148  |    0.248     |    80.645    |    62.916    |   17.729  |  16 - 8 |  4   |
|  33  |   West Virginia   | 0.016 |   0.078   |   -0.165  |    0.243     |    78.860    |    61.824    |   17.035  |  15 - 8 |  4   |
|  34  |      Clemson      | 0.016 |   0.137   |   -0.105  |    0.241     |    83.616    |    65.676    |   17.940  |  19 - 5 |  4   |
|  35  |        Pitt       | 0.016 |   0.142   |   -0.096  |    0.238     |    84.071    |    66.236    |   17.835  |  14 - 9 |  4   |
|  36  |       Oregon      | 0.016 |   0.118   |   -0.109  |    0.228     |    82.103    |    65.386    |   16.718  |  16 - 8 |  4   |
|  37  |   North Carolina  | 0.016 |   0.120   |   -0.096  |    0.216     |    82.258    |    66.258    |   16.001  | 14 - 10 |  4   |
|  38  |      Oklahoma     | 0.016 |   0.136   |   -0.079  |    0.216     |    83.590    |    67.369    |   16.221  |  16 - 7 |  4   |
|  39  |     New Mexico    | 0.016 |   0.076   |   -0.139  |    0.215     |    78.719    |    63.496    |   15.223  |  20 - 4 |  4   |
|  40  |  San Diego State  | 0.016 |   0.038   |   -0.173  |    0.211     |    75.774    |    61.357    |   14.417  |  15 - 6 |  4   |
|  41  |      Memphis      | 0.016 |   0.102   |   -0.105  |    0.207     |    80.803    |    65.665    |   15.138  |  19 - 4 |  4   |
|  42  |      Nebraska     | 0.016 |   0.074   |   -0.118  |    0.192     |    78.529    |    64.819    |   13.710  |  15 - 8 |  4   |
|  43  |     Utah State    | 0.016 |   0.118   |   -0.071  |    0.190     |    82.108    |    67.911    |   14.197  |  21 - 3 |  5   |
|  44  |        Iowa       | 0.016 |   0.141   |   -0.033  |    0.174     |    83.998    |    70.564    |   13.434  | 13 - 10 |  5   |
|  45  |       Dayton      | 0.016 |   0.102   |   -0.039  |    0.140     |    80.766    |    70.183    |   10.583  |  16 - 8 |  5   |
|  46  |   McNeese State   | 0.016 |   0.065   |   -0.073  |    0.138     |    77.815    |    67.794    |   10.021  |  18 - 6 |  5   |
|  47  |     UC-Irvine     | 0.016 |   0.004   |   -0.127  |    0.131     |    73.214    |    64.235    |   8.980   |  20 - 4 |  6   |
|  48  |      Bradley      | 0.016 |   0.069   |   -0.051  |    0.120     |    78.128    |    69.304    |   8.824   |  19 - 6 |  6   |
|  49  |        Yale       | 0.016 |   0.075   |   -0.036  |    0.112     |    78.660    |    70.357    |   8.303   |  14 - 6 |  6   |
|  50  |    Saint Louis    | 0.016 |   0.037   |   -0.044  |    0.081     |    75.691    |    69.774    |   5.918   | 14 - 10 |  6   |
|  51  |     High Point    | 0.016 |   0.102   |   0.030   |    0.072     |    80.776    |    75.153    |   5.623   |  21 - 5 |  7   |
|  52  |      Lipscomb     | 0.016 |   0.028   |   -0.042  |    0.070     |    74.976    |    69.930    |   5.046   |  17 - 8 |  7   |
|  53  |       Akron       | 0.016 |   0.044   |   -0.026  |    0.069     |    76.189    |    71.103    |   5.086   |  18 - 5 |  7   |
|  54  |      Samford      | 0.016 |   0.042   |   -0.001  |    0.043     |    76.082    |    72.875    |   3.206   |  19 - 6 |  7   |
|  55  |    Utah Valley    | 0.016 |   -0.015  |   -0.055  |    0.040     |    71.848    |    69.065    |   2.783   |  17 - 7 |  7   |
|  56  | Northern Colorado | 0.016 |   0.049   |   0.019   |    0.029     |    76.591    |    74.367    |   2.224   |  18 - 7 |  7   |
|  57  |  Cleveland State  | 0.016 |   -0.028  |   -0.037  |    0.009     |    70.940    |    70.277    |   0.662   |  18 - 7 |  8   |
|  58  |       Bryant      | 0.016 |   0.003   |   -0.001  |    0.004     |    73.137    |    72.833    |   0.304   | 15 - 10 |  8   |
|  59  |  New Mexico State | 0.016 |   -0.022  |   -0.018  |    -0.003    |    71.383    |    71.629    |   -0.246  | 12 - 11 |  8   |
|  60  |   Nebraska-Omaha  | 0.016 |   0.006   |   0.037   |    -0.031    |    73.369    |    75.695    |   -2.326  | 16 - 10 |  8   |
|  61  |       Marist      | 0.016 |   -0.065  |   -0.015  |    -0.050    |    68.335    |    71.863    |   -3.528  |  16 - 5 |  9   |
|  62  |  William and Mary | 0.016 |   0.008   |   0.070   |    -0.062    |    73.544    |    78.218    |   -4.675  | 14 - 11 |  9   |
|  63  |      Southern     | 0.016 |   -0.091  |   -0.019  |    -0.072    |    66.572    |    71.566    |   -4.994  |  15 - 8 |  9   |
|  64  |      Colgate      | 0.016 |   -0.021  |   0.056   |    -0.077    |    71.422    |    77.131    |   -5.709  | 10 - 15 |  9   |
|  65  |       Howard      | 0.016 |   -0.003  |   0.126   |    -0.128    |    72.750    |    82.718    |   -9.968  |  9 - 14 |  10  |
|  66  |    Long Island    | 0.016 |   -0.124  |   0.006   |    -0.130    |    64.443    |    73.365    |   -8.922  | 12 - 15 |  10  |
|  67  |    Old Dominion   | 0.016 |   -0.080  |   0.054   |    -0.134    |    67.359    |    77.019    |   -9.660  | 11 - 14 |  10  |
|  68  |   Morehead State  | 0.016 |   -0.082  |   0.056   |    -0.138    |    67.187    |    77.112    |   -9.925  | 14 - 11 |  10  |
+------+-------------------+-------+-----------+-----------+--------------+--------------+--------------+-----------+---------+------+
