Chance For Each Team To Make Each Round
+-------------------+-------------+-------------+----------+---------+---------+--------------+--------+
|        Team       | Round of 64 | Round of 32 | Sweet 16 | Elite 8 | Final 4 | Championship | Winner |
|        Pitt       |    100.0%   |    56.5%    |  16.7%   |   6.4%  |   2.0%  |     0.5%     |  0.1%  |
|      Georgia      |    100.0%   |    57.9%    |  11.6%   |   2.3%  |   0.6%  |     0.2%     |  0.1%  |
|      Memphis      |    100.0%   |    70.7%    |  25.2%   |   6.1%  |   2.0%  |     0.3%     |  0.0%  |
|      Clemson      |    100.0%   |    38.4%    |   4.8%   |   1.6%  |   0.6%  |     0.2%     |  0.0%  |
|  San Diego State  |    100.0%   |    43.5%    |  10.9%   |   3.6%  |   0.9%  |     0.2%     |  0.0%  |
|      Oklahoma     |    100.0%   |    38.8%    |   7.9%   |   3.3%  |   1.2%  |     0.2%     |  0.0%  |
|      Nebraska     |    100.0%   |    38.1%    |  13.5%   |   3.7%  |   0.9%  |     0.1%     |  0.0%  |
|     Utah State    |    100.0%   |    29.8%    |  13.7%   |   2.2%  |   0.5%  |     0.1%     |  0.0%  |
|   North Carolina  |    100.0%   |    42.1%    |   6.0%   |   0.9%  |   0.2%  |     0.0%     |  0.0%  |
|     New Mexico    |    60.6%    |    21.3%    |   2.3%   |   0.4%  |   0.1%  |     0.0%     |  0.0%  |
|   McNeese State   |    100.0%   |    13.0%    |   4.0%   |   0.7%  |   0.1%  |     0.0%     |  0.0%  |
|      Bradley      |    100.0%   |    29.3%    |   5.8%   |   0.6%  |   0.1%  |     0.0%     |  0.0%  |
|     UC-Irvine     |    100.0%   |    18.7%    |   3.9%   |   0.6%  |   0.0%  |     0.0%     |  0.0%  |
|        Iowa       |    39.4%    |    10.2%    |   0.7%   |   0.1%  |   0.0%  |     0.0%     |  0.0%  |
|       Dayton      |    23.0%    |     3.9%    |   0.8%   |   0.2%  |   0.0%  |     0.0%     |  0.0%  |
|        Yale       |    100.0%   |    12.4%    |   2.5%   |   0.1%  |   0.0%  |     0.0%     |  0.0%  |
|    Saint Louis    |    100.0%   |    15.0%    |   1.6%   |   0.2%  |   0.0%  |     0.0%     |  0.0%  |
|     High Point    |    100.0%   |     9.1%    |   2.3%   |   0.1%  |   0.0%  |     0.0%     |  0.0%  |
|       Akron       |    100.0%   |     6.8%    |   0.7%   |   0.1%  |   0.0%  |     0.0%     |  0.0%  |
|      Lipscomb     |    100.0%   |     7.2%    |   0.7%   |   0.0%  |   0.0%  |     0.0%     |  0.0%  |
|    Utah Valley    |    100.0%   |    12.5%    |   1.3%   |   0.0%  |   0.0%  |     0.0%     |  0.0%  |
|      Samford      |    100.0%   |     7.9%    |   0.7%   |   0.0%  |   0.0%  |     0.0%     |  0.0%  |
| Northern Colorado |    100.0%   |     3.7%    |   0.2%   |   0.0%  |   0.0%  |     0.0%     |  0.0%  |
|       Bryant      |    100.0%   |     4.9%    |   0.4%   |   0.0%  |   0.0%  |     0.0%     |  0.0%  |
|  Cleveland State  |    100.0%   |     1.4%    |   0.1%   |   0.0%  |   0.0%  |     0.0%     |  0.0%  |
|  New Mexico State |    100.0%   |     0.8%    |   0.1%   |   0.0%  |   0.0%  |     0.0%     |  0.0%  |
|       Marist      |    100.0%   |     3.0%    |   0.2%   |   0.0%  |   0.0%  |     0.0%     |  0.0%  |
|   Nebraska-Omaha  |    100.0%   |     0.7%    |   0.0%   |   0.0%  |   0.0%  |     0.0%     |  0.0%  |
|      Southern     |    100.0%   |     1.0%    |   0.0%   |   0.0%  |   0.0%  |     0.0%     |  0.0%  |
|  William and Mary |    100.0%   |     0.3%    |   0.0%   |   0.0%  |   0.0%  |     0.0%     |  0.0%  |
|      Colgate      |    62.8%    |     0.1%    |   0.0%   |   0.0%  |   0.0%  |     0.0%     |  0.0%  |
|    Long Island    |    51.0%    |     0.2%    |   0.0%   |   0.0%  |   0.0%  |     0.0%     |  0.0%  |
|    Old Dominion   |    49.0%    |     0.1%    |   0.0%   |   0.0%  |   0.0%  |     0.0%     |  0.0%  |
|   Morehead State  |    100.0%   |     0.1%    |   0.0%   |   0.0%  |   0.0%  |     0.0%     |  0.0%  |
|       Howard      |    37.2%    |     0.0%    |   0.0%   |   0.0%  |   0.0%  |     0.0%     |  0.0%  |
|       TOTAL       |      64     |      32     |    16    |    8    |    4    |      2       |   1    |
+-------------------+-------------+-------------+----------+---------+---------+--------------+--------+
